"Time","Dow"
"20080229",12266.390
"20080228",12582.180
"20080227",12694.280
"20080226",12684.920
"20080225",12570.220
"20080222",12381.020
"20080221",12284.300
"20080220",12427.260
"20080219",12337.220
"20080215",12348.210
"20080214",12376.980
"20080213",12552.240
"20080212",12373.410
"20080211",12240.010
"20080208",12182.130
"20080207",12247.000
"20080206",12200.100
"20080205",12265.130
"20080204",12635.160
"20080201",12743.190
"20080131",12650.360
"20080130",12442.830
"20080129",12480.300
"20080128",12383.890
"20080125",12207.170
"20080124",12378.610
"20080123",12270.170
"20080122",11971.190
"20080118",12099.300
"20080117",12159.210
"20080116",12466.160
"20080115",12501.110
"20080114",12778.150
"20080111",12606.300
"20080110",12853.090
"20080109",12735.310
"20080108",12589.070
"20080107",12827.490
"20080104",12800.180
"20080103",13056.720
"20080102",13043.960
"20071231",13264.820
"20071228",13365.870
"20071227",13359.610
"20071226",13551.690
"20071224",13549.330
"20071221",13450.650
"20071220",13245.640
"20071219",13207.270
"20071218",13232.470
"20071217",13167.200
"20071214",13339.850
"20071213",13517.960
"20071212",13473.900
"20071211",13432.770
"20071210",13727.030
"20071207",13625.580
"20071206",13619.890
"20071205",13444.960
"20071204",13248.730
"20071203",13314.570
"20071130",13371.720
"20071129",13311.730
"20071128",13289.450
"20071127",12958.440
"20071126",12743.440
"20071123",12980.880
"20071121",12799.040
"20071120",13010.140
"20071119",12958.440
"20071116",13176.790
"20071115",13110.050
"20071114",13231.010
"20071113",13307.090
"20071112",12987.550
"20071109",13042.740
"20071108",13266.290
"20071107",13300.020
"20071106",13660.940
"20071105",13543.400
"20071102",13595.100
"20071101",13567.870
"20071031",13930.010
"20071030",13792.470
"20071029",13870.260
"20071026",13806.700
"20071025",13671.920
"20071024",13675.250
"20071023",13676.230
"20071022",13566.970
"20071019",13522.020
"20071018",13888.960
"20071017",13892.540
"20071016",13912.940
"20071015",13984.800
"20071012",14093.080
"20071011",14015.120
"20071010",14078.690
"20071009",14164.530
"20071008",14043.730
"20071005",14066.010
"20071004",13974.310
"20071003",13968.050
"20071002",14047.310
"20071001",14087.550
"20070928",13895.630
"20070927",13912.940
"20070926",13878.150
"20070925",13778.650
"20070924",13759.060
"20070921",13820.190
"20070920",13766.700
"20070919",13815.560
"20070918",13739.390
"20070917",13403.420
"20070914",13442.520
"20070913",13424.880
"20070912",13291.650
"20070911",13308.390
"20070910",13127.850
"20070907",13113.380
"20070906",13363.350
"20070905",13305.470
"20070904",13448.860
"20070831",13357.740
"20070830",13238.730
"20070829",13289.290
"20070828",13041.850
"20070827",13322.130
"20070824",13378.870
"20070823",13235.880
"20070822",13236.130
"20070821",13090.860
"20070820",13121.350
"20070817",13079.080
"20070816",12845.780
"20070815",12861.470
"20070814",13028.920
"20070813",13236.530
"20070810",13239.540
"20070809",13270.680
"20070808",13657.860
"20070807",13504.300
"20070806",13468.780
"20070803",13181.910
"20070802",13463.330
"20070801",13362.370
"20070731",13211.990
"20070730",13358.310
"20070727",13265.470
"20070726",13473.570
"20070725",13785.070
"20070724",13716.950
"20070723",13943.420
"20070720",13851.080
"20070719",14000.410
"20070718",13918.220
"20070717",13971.550
"20070716",13950.980
"20070713",13907.250
"20070712",13861.730
"20070711",13577.870
"20070710",13501.700
"20070709",13649.970
"20070706",13611.680
"20070705",13565.840
"20070703",13577.300
"20070702",13535.430
"20070629",13408.620
"20070628",13422.280
"20070627",13427.730
"20070626",13337.660
"20070625",13352.050
"20070622",13360.260
"20070621",13545.840
"20070620",13489.420
"20070619",13635.420
"20070618",13612.980
"20070615",13639.480
"20070614",13553.720
"20070613",13482.350
"20070612",13295.010
"20070611",13424.960
"20070608",13424.390
"20070607",13266.730
"20070606",13465.670
"20070605",13595.460
"20070604",13676.320
"20070601",13668.110
"20070531",13627.640
"20070530",13633.080
"20070529",13521.340
"20070525",13507.280
"20070524",13441.130
"20070523",13525.650
"20070522",13539.950
"20070521",13542.880
"20070518",13556.530
"20070517",13476.720
"20070516",13487.530
"20070515",13383.840
"20070514",13346.780
"20070511",13326.220
"20070510",13215.130
"20070509",13362.870
"20070508",13309.070
"20070507",13312.970
"20070504",13264.620
"20070503",13241.380
"20070502",13211.880
"20070501",13136.140
"20070430",13062.910
"20070427",13120.940
"20070426",13105.500
"20070425",13089.890
"20070424",12953.940
"20070423",12919.400
"20070420",12961.980
"20070419",12808.630
"20070418",12803.840
"20070417",12773.040
"20070416",12720.460
"20070413",12612.130
"20070412",12552.960
"20070411",12484.620
"20070410",12573.850
"20070409",12569.140
"20070405",12560.200
"20070404",12530.050
"20070403",12510.300
"20070402",12382.300
"20070330",12354.350
"20070329",12348.750
"20070328",12300.360
"20070327",12397.290
"20070326",12469.070
"20070323",12481.010
"20070322",12461.140
"20070321",12447.520
"20070320",12288.100
"20070319",12226.170
"20070316",12110.410
"20070315",12159.680
"20070314",12133.400
"20070313",12075.960
"20070312",12318.620
"20070309",12276.320
"20070308",12260.700
"20070307",12192.450
"20070306",12207.590
"20070305",12050.410
"20070302",12114.100
"20070301",12234.340
"20070228",12268.630
"20070227",12216.240
"20070226",12632.260
"20070223",12647.480
"20070222",12686.020
"20070221",12738.410
"20070220",12786.640
"20070216",12767.570
"20070215",12765.010
"20070214",12741.860
"20070213",12654.850
"20070212",12552.550
"20070209",12580.830
"20070208",12637.630
"20070207",12666.870
"20070206",12666.310
"20070205",12661.740
"20070202",12653.490
"20070201",12673.680
"20070131",12621.690
"20070130",12523.310
"20070129",12490.780
"20070126",12487.020
"20070125",12502.560
"20070124",12621.770
"20070123",12533.800
"20070122",12477.160
"20070119",12565.530
"20070118",12567.930
"20070117",12577.150
"20070116",12582.590
"20070112",12556.080
"20070111",12514.980
"20070110",12442.160
"20070109",12416.600
"20070108",12423.490
"20070105",12398.010
"20070104",12480.690
"20070103",12474.520
"20061229",12463.150
"20061228",12501.520
"20061227",12510.570
"20061226",12407.630
"20061222",12343.220
"20061221",12421.250
"20061220",12463.870
"20061219",12471.320
"20061218",12441.270
"20061215",12445.520
"20061214",12416.760
"20061213",12317.500
"20061212",12315.580
"20061211",12328.480
"20061208",12307.490
"20061207",12278.410
"20061206",12309.250
"20061205",12331.600
"20061204",12283.850
"20061201",12194.130
"20061130",12221.930
"20061129",12226.730
"20061128",12136.450
"20061127",12121.710
"20061124",12280.170
"20061122",12326.950
"20061121",12321.590
"20061120",12316.540
"20061117",12342.560
"20061116",12305.820
"20061115",12251.710
"20061114",12218.010
"20061113",12131.880
"20061110",12108.430
"20061109",12103.300
"20061108",12176.540
"20061107",12156.770
"20061106",12105.550
"20061103",11986.040
"20061102",12018.540
"20061101",12031.020
"20061031",12080.730
"20061030",12086.500
"20061027",12090.260
"20061026",12163.660
"20061025",12134.680
"20061024",12127.880
"20061023",12116.910
"20061020",12002.370
"20061019",12011.730
"20061018",11992.680
"20061017",11950.020
"20061016",11980.600
"20061013",11960.510
"20061012",11947.700
"20061011",11852.130
"20061010",11867.170
"20061009",11857.810
"20061006",11850.210
"20061005",11866.690
"20061004",11850.610
"20061003",11727.340
"20061002",11670.350
"20060929",11679.070
"20060928",11718.450
"20060927",11689.240
"20060926",11669.390
"20060925",11575.810
"20060922",11508.100
"20060921",11533.230
"20060920",11613.190
"20060919",11540.910
"20060918",11555.000
"20060915",11560.770
"20060914",11527.390
"20060913",11543.320
"20060912",11498.090
"20060911",11396.840
"20060908",11392.110
"20060907",11331.440
"20060906",11406.200
"20060905",11469.280
"20060901",11464.150
"20060831",11381.150
"20060830",11382.910
"20060829",11369.940
"20060828",11352.010
"20060825",11284.050
"20060824",11304.460
"20060823",11297.900
"20060822",11339.840
"20060821",11345.050
"20060818",11381.470
"20060817",11334.960
"20060816",11327.120
"20060815",11230.260
"20060814",11097.870
"20060811",11088.030
"20060810",11124.370
"20060809",11076.180
"20060808",11173.590
"20060807",11219.380
"20060804",11240.350
"20060803",11248.590
"20060802",11199.930
"20060801",11125.730
"20060731",11185.680
"20060728",11219.700
"20060727",11100.430
"20060726",11102.510
"20060725",11103.710
"20060724",11051.050
"20060721",10868.380
"20060720",10928.100
"20060719",11011.420
"20060718",10799.230
"20060717",10747.360
"20060714",10739.350
"20060713",10846.290
"20060712",11013.180
"20060711",11134.770
"20060710",11103.550
"20060707",11090.670
"20060706",11225.300
"20060705",11151.820
"20060703",11228.020
"20060630",11150.220
"20060629",11190.800
"20060628",10973.560
"20060627",10924.740
"20060626",11045.280
"20060623",10989.090
"20060622",11019.110
"20060621",11079.460
"20060620",10974.840
"20060619",10942.110
"20060616",11014.550
"20060615",11015.190
"20060614",10816.920
"20060613",10706.140
"20060612",10792.580
"20060609",10891.920
"20060608",10938.820
"20060607",10930.900
"20060606",11002.140
"20060605",11048.720
"20060602",11247.870
"20060601",11260.280
"20060531",11168.310
"20060530",11094.430
"20060526",11278.610
"20060525",11211.050
"20060524",11117.320
"20060523",11098.350
"20060522",11125.330
"20060519",11144.060
"20060518",11128.290
"20060517",11205.610
"20060516",11419.890
"20060515",11428.770
"20060512",11380.990
"20060511",11500.730
"20060510",11642.650
"20060509",11639.770
"20060508",11584.540
"20060505",11577.740
"20060504",11438.860
"20060503",11400.280
"20060502",11416.450
"20060501",11343.290
